Time,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis
1-6-2020T00:00,256.59,305.32,278.91,292.86,293.27,282.07,420.41
2-6-2020T00:00,236.97,289.94,275.37,274.56,275.79,266.89,409.72
3-6-2020T00:00,244.63,291.30,268.13,276.85,272.99,257.91,396.80
4-6-2020T00:00,260.54,318.09,283.32,296.67,291.60,280.72,452.60
5-6-2020T00:00,277.72,334.27,308.78,324.95,312.36,301.48,473.83
6-6-2020T00:00,340.00,396.69,364.13,399.38,383.84,375.83,583.59
7-6-2020T00:00,340.55,405.30,381.24,388.13,393.11,365.34,591.31
8-6-2020T00:00,270.31,329.12,285.23,307.25,304.40,294.48,476.43
9-6-2020T00:00,247.09,305.18,269.23,298.39,293.01,270.36,461.34
10-6-2020T00:00,253.05,316.34,283.39,304.71,295.11,280.60,485.45
11-6-2020T00:00,252.20,326.38,279.99,305.33,293.96,277.15,485.79
12-6-2020T00:00,263.83,312.98,274.20,300.76,286.57,267.98,472.89
13-6-2020T00:00,319.45,382.32,350.73,388.84,363.61,334.18,591.74
14-6-2020T00:00,331.94,384.32,361.89,388.76,355.65,351.58,580.30
15-6-2020T00:00,264.76,297.44,283.43,299.66,286.93,282.87,452.93
16-6-2020T00:00,262.71,303.69,286.53,297.64,282.79,272.72,460.83
17-6-2020T00:00,252.91,289.98,259.00,281.89,273.87,246.75,448.77
18-6-2020T00:00,255.08,309.52,276.48,276.68,261.41,260.31,451.72
19-6-2020T00:00,268.91,302.72,295.90,302.51,287.12,282.23,469.64
20-6-2020T00:00,328.41,356.93,326.72,358.65,343.81,321.22,558.15
21-6-2020T00:00,324.39,368.43,336.10,362.09,343.59,336.75,560.91
22-6-2020T00:00,259.24,309.03,275.66,297.83,266.31,264.64,463.55
23-6-2020T00:00,253.00,288.64,247.21,267.52,248.93,254.20,432.48
24-6-2020T00:00,235.15,267.23,232.76,244.97,231.33,235.06,418.78
25-6-2020T00:00,208.36,245.91,208.18,229.95,216.78,219.56,394.61
26-6-2020T00:00,225.84,255.72,226.92,249.24,235.57,233.10,412.15
27-6-2020T00:00,287.08,303.35,280.49,305.00,281.73,288.13,478.51
28-6-2020T00:00,294.42,308.70,287.22,312.76,290.37,293.89,508.89
29-6-2020T00:00,218.10,249.73,229.23,250.76,232.80,228.25,392.23
30-6-2020T00:00,206.94,243.32,220.81,222.13,220.88,212.06,383.60
1-7-2020T00:00,209.83,246.11,227.84,215.48,223.68,218.51,389.35