Time,Oranix,Mang,Anne,Greysidious,A,Laelu,Byron,Vryloka,Solfaer,Elderfell
24-06-2020T11:20,1,1,0,0,0,0,0,0,0,0
24-06-2020T11:30,1,1,1,1,1,0,0,0,0,0
24-06-2020T11:40,2,1,1,4,1,1,1,1,0,0
24-06-2020T11:50,3,2,1,5,1,1,1,1,1,0
24-06-2020T12:00,3,2,1,5,1,3,1,1,1,0
24-06-2020T12:10,3,2,1,5,1,4,1,1,2,1
24-06-2020T12:20,3,2,2,5,1,4,2,1,2,1
24-06-2020T12:30,4,3,2,5,1,4,2,1,2,2
24-06-2020T12:40,4,3,2,5,1,4,2,2,2,2
24-06-2020T12:50,4,3,2,5,1,4,3,2,2,2
24-06-2020T13:00,4,3,3,5,1,4,3,2,2,3
24-06-2020T13:30,5,3,3,5,1,5,3,2,3,3
24-06-2020T13:40,5,3,4,5,1,5,3,2,3,3
24-06-2020T14:00,5,4,4,6,1,5,4,2,3,3
24-06-2020T14:50,5,4,4,6,1,5,5,2,3,3
24-06-2020T15:20,5,4,4,6,1,5,5,2,3,4
24-06-2020T15:40,5,4,4,6,1,5,5,3,3,4
24-06-2020T16:40,5,5,4,6,1,5,5,3,3,4
24-06-2020T17:40,5,5,4,7,1,5,5,3,3,4
24-06-2020T17:50,5,5,4,7,1,5,5,3,3,5
24-06-2020T18:00,5,5,4,7,1,5,5,4,3,5
24-06-2020T18:10,5,5,4,7,1,5,6,4,3,5
24-06-2020T19:10,5,6,4,7,1,5,6,4,3,5
24-06-2020T19:50,5,6,4,7,1,5,7,4,3,5
24-06-2020T20:00,5,6,4,7,1,5,7,5,3,5
24-06-2020T20:10,5,6,4,7,2,5,7,5,3,5
24-06-2020T20:30,5,6,4,7,2,6,7,5,3,6
24-06-2020T20:40,5,6,4,7,3,6,7,5,3,6
24-06-2020T21:20,5,6,4,7,3,6,8,5,3,6
24-06-2020T21:50,5,6,4,7,4,6,8,5,3,6
24-06-2020T22:00,5,6,4,7,5,6,8,5,3,6
24-06-2020T23:40,5,6,4,7,5,6,8,5,3,7
24-06-2020T23:50,5,6,4,8,5,6,8,5,3,7
25-06-2020T00:10,5,6,4,8,5,6,9,5,3,7
25-06-2020T00:50,5,6,4,8,5,6,9,6,3,7
25-06-2020T01:00,5,6,4,8,6,6,9,6,3,7
25-06-2020T01:50,5,6,4,8,6,6,9,6,3,8
25-06-2020T02:30,5,6,4,8,7,6,9,6,3,8
25-06-2020T05:10,5,6,4,8,8,6,9,6,3,8
25-06-2020T09:50,5,6,5,8,8,6,9,6,3,8
25-06-2020T10:20,5,6,5,8,8,6,9,6,4,8
25-06-2020T10:30,5,7,5,8,8,6,9,6,4,8
25-06-2020T10:40,5,7,6,8,8,6,9,6,4,8
25-06-2020T10:50,5,7,6,9,8,6,9,6,4,9
25-06-2020T11:10,6,7,6,9,8,6,9,6,4,9
25-06-2020T11:20,6,8,6,9,8,6,9,6,4,9
25-06-2020T11:30,7,8,6,9,8,6,9,6,4,9
25-06-2020T12:20,7,8,7,9,8,6,9,6,4,9
25-06-2020T12:40,8,8,7,9,8,6,9,6,4,9
25-06-2020T13:30,9,8,7,9,8,6,9,6,4,9
25-06-2020T13:40,9,8,7,9,8,6,9,6,5,9
25-06-2020T14:10,9,8,7,10,8,6,9,6,5,10
25-06-2020T14:50,10,8,7,10,8,6,9,6,5,10
25-06-2020T15:00,10,8,7,10,8,6,10,6,5,10
25-06-2020T16:20,11,8,7,10,8,6,10,6,5,10
25-06-2020T18:00,11,8,7,10,8,6,10,7,5,10
25-06-2020T19:10,11,8,7,10,9,6,10,7,5,10
25-06-2020T20:00,11,9,7,10,9,6,10,7,5,10
25-06-2020T20:40,11,9,7,11,9,6,10,7,5,11
25-06-2020T21:00,11,9,7,11,10,6,10,7,5,11
25-06-2020T21:50,11,9,7,11,10,6,10,8,5,11
25-06-2020T23:00,11,9,7,11,11,6,10,8,5,11
25-06-2020T23:40,11,9,7,11,11,6,10,8,6,11
26-06-2020T00:10,11,9,7,11,12,6,10,8,6,11
26-06-2020T01:30,11,9,7,11,13,6,10,8,6,11
26-06-2020T02:40,11,9,7,11,13,6,10,8,7,11
26-06-2020T03:40,11,9,7,11,14,6,10,8,7,11
26-06-2020T04:40,11,9,7,11,15,6,10,8,7,11
26-06-2020T07:20,11,9,7,11,15,6,10,8,8,11
26-06-2020T08:50,11,9,8,11,15,6,10,8,8,11
26-06-2020T09:10,11,9,8,11,16,6,10,8,8,11
26-06-2020T10:00,12,9,8,11,16,6,10,8,9,11
26-06-2020T11:00,12,9,9,11,16,6,10,8,9,11
26-06-2020T11:50,12,10,9,11,16,6,10,8,9,11
26-06-2020T13:00,13,10,9,11,16,6,10,8,9,11
26-06-2020T14:20,13,10,9,11,16,6,10,8,10,11
26-06-2020T14:40,14,10,9,11,16,6,10,8,10,11
26-06-2020T14:50,14,10,9,11,16,6,10,9,10,11
26-06-2020T15:20,15,10,9,11,16,6,10,9,10,11
26-06-2020T17:10,16,10,9,11,16,6,11,9,10,11
26-06-2020T18:30,16,10,9,11,17,6,11,9,10,11
26-06-2020T19:20,16,10,9,11,18,6,11,9,10,11
26-06-2020T20:30,16,11,9,11,18,6,11,9,10,11
26-06-2020T20:40,17,11,9,11,18,6,11,9,10,11
26-06-2020T21:40,17,11,9,11,19,6,11,9,10,11
26-06-2020T21:50,18,11,9,11,19,6,11,9,10,11
26-06-2020T22:40,18,11,9,11,19,6,11,10,10,11
26-06-2020T23:40,18,11,9,12,20,6,11,10,10,12
27-06-2020T00:00,18,11,9,12,20,6,11,10,11,12
27-06-2020T01:50,18,11,9,12,21,6,11,10,11,12
27-06-2020T04:10,18,11,9,12,22,6,11,10,11,12
27-06-2020T04:30,18,11,9,12,22,6,11,11,11,12
27-06-2020T07:20,18,11,9,12,22,6,11,11,12,12
27-06-2020T09:50,18,11,10,12,22,6,11,11,12,12
27-06-2020T10:00,19,11,10,12,22,6,11,11,12,12
27-06-2020T11:20,19,11,10,12,22,6,11,11,13,12
27-06-2020T11:40,20,11,10,12,22,6,11,11,13,12
27-06-2020T12:10,20,12,10,12,22,6,11,11,13,12
27-06-2020T12:50,20,12,10,1,22,6,11,11,13,12
27-06-2020T13:10,20,12,10,5,22,6,11,11,13,1
27-06-2020T13:20,20,12,10,5,22,6,11,11,13,2
27-06-2020T13:40,20,12,10,5,22,6,11,11,13,1
27-06-2020T14:10,20,12,10,5,22,6,11,11,13,3
27-06-2020T15:00,20,12,10,5,22,6,12,11,13,4
27-06-2020T16:20,20,12,10,5,22,6,12,11,13,5
27-06-2020T18:30,20,12,10,6,22,6,12,11,13,6
27-06-2020T19:00,20,13,10,6,23,6,12,11,13,6
27-06-2020T20:40,20,13,10,6,23,6,12,12,13,6
27-06-2020T21:00,20,13,10,6,23,6,12,12,14,6
27-06-2020T21:20,20,13,10,6,24,6,12,12,14,6
27-06-2020T21:40,20,13,10,7,24,6,12,12,14,7
28-06-2020T00:10,20,13,10,7,25,6,12,12,14,7
28-06-2020T04:10,20,13,10,7,26,6,12,12,14,7
28-06-2020T07:30,20,13,10,7,26,6,13,12,14,7
28-06-2020T07:40,20,13,10,8,26,6,13,12,14,8
28-06-2020T08:20,20,13,10,8,27,6,13,12,14,8
28-06-2020T09:30,20,13,10,8,27,6,14,12,14,8
28-06-2020T12:00,20,14,10,8,27,6,14,12,14,8
28-06-2020T13:30,20,14,10,8,27,6,14,12,14,9
28-06-2020T13:40,20,14,10,9,27,6,14,12,14,9
28-06-2020T13:50,20,14,10,9,27,6,14,12,15,9
28-06-2020T17:30,20,14,10,9,27,1,14,12,15,9
28-06-2020T17:40,20,14,10,9,27,3,14,12,15,9
28-06-2020T18:30,20,14,10,10,27,3,14,12,15,10
28-06-2020T19:00,20,15,10,10,27,3,14,12,15,10
28-06-2020T20:40,21,15,10,10,27,3,14,12,15,10
28-06-2020T21:50,21,15,10,10,28,3,14,12,15,10
28-06-2020T22:10,22,15,10,10,28,3,14,12,15,10
29-06-2020T01:30,22,15,10,10,28,3,14,13,15,10
29-06-2020T02:10,22,15,10,10,29,3,14,13,15,10
29-06-2020T11:10,22,15,10,10,29,3,14,13,16,10
29-06-2020T13:30,22,15,10,10,29,3,14,13,17,10
29-06-2020T14:00,22,15,10,10,29,3,15,13,17,10
29-06-2020T15:30,22,15,10,10,30,3,15,13,17,10
29-06-2020T16:50,22,16,10,10,30,3,15,13,17,10
29-06-2020T18:00,22,16,10,10,30,3,16,13,17,10
29-06-2020T18:40,22,16,10,10,30,4,16,13,17,10
29-06-2020T19:00,23,16,10,10,30,4,16,13,17,10
29-06-2020T19:20,24,16,10,11,30,4,16,13,17,11
29-06-2020T19:30,24,17,10,11,30,4,17,13,17,11
29-06-2020T19:40,24,17,11,11,30,4,17,13,17,11
29-06-2020T20:00,24,17,11,11,30,5,17,13,17,11
29-06-2020T20:30,24,17,12,11,30,5,17,13,17,11
29-06-2020T21:10,24,17,12,11,4,5,17,13,17,11
29-06-2020T21:20,24,17,12,11,16,5,17,13,17,11
29-06-2020T21:30,24,17,12,11,30,5,17,13,17,11
29-06-2020T22:00,25,17,12,11,30,5,17,13,17,11
29-06-2020T22:10,25,17,12,11,30,6,17,13,17,11
29-06-2020T22:50,25,17,12,11,30,6,18,13,17,11
29-06-2020T23:00,25,17,12,11,30,6,18,14,17,11
29-06-2020T23:30,25,17,12,11,30,6,18,15,17,11
30-06-2020T12:50,25,17,12,11,30,6,18,15,18,11
30-06-2020T14:50,25,17,12,11,30,6,18,4,18,11
30-06-2020T15:00,25,17,12,11,30,6,18,15,18,11
30-06-2020T15:10,26,17,12,11,30,6,18,15,18,11
30-06-2020T16:50,26,18,12,11,30,6,18,15,18,11
30-06-2020T18:50,27,18,12,11,30,6,18,15,18,11
30-06-2020T20:30,27,18,12,11,30,7,18,15,18,11
30-06-2020T21:40,27,18,12,11,30,8,18,15,18,11
30-06-2020T21:50,27,18,12,12,30,8,18,15,18,11
30-06-2020T22:00,27,18,12,12,30,8,18,15,18,12
30-06-2020T23:00,27,18,12,12,30,9,18,15,18,12
30-06-2020T23:20,27,18,12,12,30,9,19,16,18,12
30-06-2020T23:50,27,18,12,12,30,9,19,17,18,12
01-07-2020T09:50,27,18,12,12,30,9,19,17,19,12
01-07-2020T11:30,27,18,12,13,30,9,19,17,19,13
01-07-2020T13:10,27,18,12,13,30,9,19,17,20,13
01-07-2020T17:40,27,18,13,13,30,9,19,17,20,13
01-07-2020T18:10,27,18,13,13,30,9,19,19,20,13
01-07-2020T20:50,27,18,13,14,30,9,19,19,20,14
01-07-2020T21:00,27,18,13,14,1,9,19,19,20,14
01-07-2020T21:20,27,18,13,14,2,9,19,19,20,14
01-07-2020T22:00,27,18,13,14,3,9,19,19,20,14
01-07-2020T22:10,27,18,13,14,3,9,19,20,20,14
01-07-2020T23:20,27,18,13,14,4,9,19,20,20,14
02-07-2020T00:50,27,18,13,14,5,9,19,20,20,14
02-07-2020T02:00,27,18,13,14,6,9,19,20,20,14
02-07-2020T04:30,27,18,13,14,6,9,19,21,20,14
02-07-2020T05:30,27,18,13,14,6,9,19,21,21,14
02-07-2020T10:10,27,19,13,14,6,9,19,21,21,14
02-07-2020T11:00,27,19,13,14,6,9,19,21,22,14
02-07-2020T11:10,27,19,13,14,6,9,20,21,22,14
02-07-2020T12:30,28,19,13,14,6,9,20,21,22,14
02-07-2020T14:00,28,19,13,15,6,9,20,21,22,14
02-07-2020T15:40,28,19,13,15,7,9,20,21,22,14
02-07-2020T16:00,28,20,13,15,7,9,20,21,22,14
02-07-2020T18:10,28,20,13,15,7,9,20,21,22,15
02-07-2020T21:40,28,20,13,15,7,9,20,21,23,15
03-07-2020T06:10,28,20,13,15,7,9,20,21,24,15
03-07-2020T09:50,28,20,13,15,7,9,20,21,25,15
03-07-2020T11:30,28,20,13,15,7,9,21,21,25,15
03-07-2020T12:40,28,21,13,15,7,9,22,21,25,15
03-07-2020T17:40,28,22,13,15,7,9,22,21,25,15
03-07-2020T18:00,28,22,13,15,7,10,22,21,25,15
03-07-2020T18:40,28,22,13,16,7,10,23,21,25,15
03-07-2020T18:50,28,22,13,16,7,10,23,21,25,16
03-07-2020T20:00,28,22,13,16,7,11,23,21,25,16
03-07-2020T20:50,28,22,13,16,7,11,23,22,25,16
03-07-2020T22:00,28,22,13,16,7,12,23,22,25,16
04-07-2020T11:10,28,22,13,16,7,12,24,22,25,16
04-07-2020T11:40,28,22,13,16,7,12,25,22,25,16
04-07-2020T12:00,28,22,13,17,7,12,25,22,25,17
04-07-2020T12:20,28,22,13,17,7,12,25,22,26,17
04-07-2020T13:20,28,23,13,17,7,12,25,22,26,17
04-07-2020T14:30,28,23,14,17,7,12,25,22,26,17
04-07-2020T15:20,28,23,15,17,7,12,25,22,26,17
04-07-2020T16:50,28,23,16,17,7,12,25,22,26,17
04-07-2020T17:30,28,23,17,17,7,12,25,22,26,17
04-07-2020T17:40,28,23,17,17,7,12,25,23,26,17
04-07-2020T18:50,28,23,18,17,7,12,25,23,26,17
04-07-2020T19:20,28,24,18,17,7,12,25,23,26,17
04-07-2020T19:40,28,24,18,17,7,13,25,23,26,17
04-07-2020T20:30,28,24,20,17,7,13,25,23,26,17
04-07-2020T21:40,28,24,20,18,7,13,25,23,26,17
04-07-2020T22:10,28,24,20,18,7,13,25,23,26,18
04-07-2020T22:20,28,24,20,18,7,13,25,23,27,18
04-07-2020T22:40,28,24,20,18,7,14,25,23,27,18
04-07-2020T22:50,28,24,20,18,7,14,25,24,27,18
05-07-2020T07:40,28,24,20,18,7,14,25,24,28,18
05-07-2020T11:10,28,25,20,18,7,14,25,24,28,18
05-07-2020T13:50,28,25,20,18,7,14,25,24,29,18
05-07-2020T17:10,28,25,20,19,7,14,25,24,29,18
05-07-2020T17:30,28,26,20,19,7,14,25,24,29,18
05-07-2020T20:40,28,26,20,19,7,14,26,24,29,18
05-07-2020T21:00,28,26,20,19,7,15,26,24,29,18
05-07-2020T21:10,28,26,20,19,7,15,27,24,29,18
05-07-2020T22:10,28,26,20,19,7,15,27,25,29,18
05-07-2020T22:50,28,26,20,19,7,16,27,25,29,18
05-07-2020T23:30,28,26,20,19,7,16,28,25,29,18
05-07-2020T23:40,28,26,20,19,7,16,28,25,30,18
06-07-2020T12:30,28,27,20,19,7,16,28,25,30,18
06-07-2020T16:30,28,28,20,19,7,16,28,25,30,18
06-07-2020T17:30,28,29,20,19,7,16,28,25,30,18
06-07-2020T19:30,28,30,20,19,7,16,28,25,30,18
06-07-2020T20:40,30,30,20,19,7,16,28,25,30,18
06-07-2020T22:30,30,30,20,19,7,16,28,26,30,18
07-07-2020T00:10,30,30,20,19,7,17,28,26,30,18
07-07-2020T00:40,30,30,20,19,7,18,28,26,30,18
07-07-2020T11:30,30,30,20,19,7,18,29,26,30,18
07-07-2020T11:40,30,30,20,19,7,18,30,26,30,18
07-07-2020T12:30,30,6,20,19,7,18,30,26,30,18
07-07-2020T12:40,30,24,20,19,7,18,30,26,30,18
07-07-2020T12:50,30,30,20,19,7,18,30,26,30,18
07-07-2020T17:00,30,30,20,19,7,18,30,26,30,19
07-07-2020T17:40,30,30,20,19,7,18,30,27,30,19
07-07-2020T18:20,30,30,20,19,7,19,30,27,30,19
07-07-2020T22:20,30,30,20,19,7,19,30,28,30,19
07-07-2020T22:40,30,30,20,20,7,19,30,28,30,19
07-07-2020T22:50,30,30,20,20,7,19,30,28,30,20
07-07-2020T23:00,30,30,20,21,7,19,30,28,30,20
07-07-2020T23:10,30,30,20,21,7,19,30,28,30,21
07-07-2020T23:30,30,30,20,21,7,20,30,28,30,21
08-07-2020T10:50,30,30,20,21,7,20,30,28,30,22
08-07-2020T11:00,30,30,20,22,7,20,30,28,30,22
08-07-2020T13:00,30,30,20,23,7,20,30,28,30,23
08-07-2020T16:10,30,30,20,24,7,20,30,28,30,24
08-07-2020T16:30,30,30,20,24,7,20,30,29,30,24
08-07-2020T18:00,30,30,20,25,7,20,30,29,30,24
08-07-2020T18:10,30,30,20,25,7,20,30,29,30,25
08-07-2020T20:20,30,30,20,25,7,21,30,29,30,25
08-07-2020T20:50,30,30,20,25,7,21,30,30,30,25
09-07-2020T00:50,30,30,21,26,7,21,30,30,30,25
09-07-2020T01:30,30,30,21,26,7,21,30,30,30,26
09-07-2020T09:20,30,30,21,27,7,21,30,30,30,26
09-07-2020T10:10,30,30,21,27,7,21,30,30,30,27
09-07-2020T12:20,30,30,21,28,7,21,30,30,30,27
09-07-2020T13:40,30,30,21,28,7,21,30,30,30,28
09-07-2020T14:20,30,30,21,29,7,21,30,30,30,28
09-07-2020T15:50,30,30,22,29,7,21,30,30,30,28
09-07-2020T16:10,30,30,22,29,7,21,30,30,30,29
09-07-2020T16:50,30,30,23,29,7,21,30,30,30,29
09-07-2020T18:30,30,30,24,29,7,21,30,30,30,29
09-07-2020T20:40,30,30,24,30,7,21,30,30,30,29
09-07-2020T22:20,30,30,24,30,7,22,30,30,30,29
09-07-2020T23:10,30,30,24,30,7,22,30,30,30,30
10-07-2020T04:40,30,30,25,30,7,22,30,30,30,30
10-07-2020T12:40,30,30,26,30,7,22,30,30,20,30
10-07-2020T13:00,30,30,26,30,7,22,30,30,1,30
10-07-2020T13:10,30,30,26,30,7,22,30,30,2,30
10-07-2020T14:20,30,30,27,30,7,22,30,30,2,30
10-07-2020T14:30,30,30,27,11,7,22,30,30,2,30
10-07-2020T15:00,30,30,27,3,7,22,30,30,2,30
10-07-2020T15:20,30,30,27,4,7,22,30,30,2,30
10-07-2020T15:30,30,30,28,4,7,22,30,30,2,30
10-07-2020T16:40,30,30,29,4,7,22,30,30,2,30
10-07-2020T17:20,30,30,29,5,7,22,30,30,2,30
10-07-2020T19:30,30,30,29,6,7,22,30,30,2,30
10-07-2020T20:20,30,30,29,6,7,22,30,30,3,30
10-07-2020T21:10,30,30,29,6,7,23,30,30,3,30
10-07-2020T21:50,30,30,30,6,7,23,30,30,3,30
10-07-2020T22:10,30,30,30,7,7,23,30,30,3,30
11-07-2020T03:00,30,30,20,7,7,23,30,30,3,30
11-07-2020T03:10,30,30,30,7,7,23,30,30,3,30
11-07-2020T07:00,30,30,30,8,7,23,30,30,3,30
11-07-2020T09:50,30,30,30,8,7,24,30,30,3,30
11-07-2020T10:00,30,30,30,9,7,24,30,30,3,30
11-07-2020T10:20,30,30,30,9,7,24,30,30,4,30
11-07-2020T11:10,30,30,30,9,7,25,30,30,4,30
11-07-2020T12:20,30,30,30,10,7,25,30,30,4,30
11-07-2020T13:10,30,30,30,10,7,25,30,30,5,30
11-07-2020T16:20,30,30,30,11,7,25,30,30,5,30
11-07-2020T16:50,30,30,30,11,7,26,30,30,5,30
11-07-2020T19:20,30,30,30,12,7,26,30,30,5,30
11-07-2020T19:40,30,30,30,12,7,27,30,30,5,30
11-07-2020T21:10,30,30,30,12,7,28,30,30,5,30
11-07-2020T22:00,30,30,30,13,7,28,30,30,5,30
11-07-2020T23:00,30,30,30,13,7,28,30,1,5,30
11-07-2020T23:30,30,30,30,13,7,28,30,2,5,30
12-07-2020T00:40,30,30,30,13,7,28,30,3,5,30
12-07-2020T07:00,30,30,30,14,7,28,30,3,5,30
12-07-2020T07:10,30,30,30,14,7,29,30,3,5,30
12-07-2020T10:00,30,30,30,14,7,29,30,3,6,30
12-07-2020T10:10,30,30,30,15,7,29,30,3,6,30
12-07-2020T12:20,30,30,30,15,7,30,30,3,6,30
12-07-2020T15:30,30,30,30,16,7,30,30,3,6,30
12-07-2020T16:20,30,30,30,16,7,30,30,4,6,30
12-07-2020T18:50,30,30,30,16,7,30,30,5,6,30
12-07-2020T20:00,30,30,30,17,7,30,30,5,6,30
12-07-2020T20:40,30,30,30,17,7,30,30,5,7,30
12-07-2020T21:00,30,30,30,17,7,30,30,6,7,30
13-07-2020T00:30,30,30,30,18,7,30,30,6,7,30
13-07-2020T05:30,30,30,11,18,7,30,30,6,7,30
13-07-2020T05:40,30,30,30,18,7,30,30,6,7,30
13-07-2020T08:40,30,30,30,19,7,30,30,6,7,30
13-07-2020T14:50,30,30,30,20,7,30,30,6,7,30
13-07-2020T15:30,30,30,30,1,7,30,30,6,7,30
13-07-2020T16:00,30,30,30,3,7,30,30,6,7,30
13-07-2020T16:10,30,30,30,5,7,30,30,6,7,30
13-07-2020T18:40,30,30,30,6,7,30,30,6,7,30
13-07-2020T22:50,30,30,30,6,7,30,30,7,7,30
13-07-2020T23:00,30,30,30,7,7,30,30,7,7,30
14-07-2020T00:20,30,30,30,8,7,30,30,7,7,30
