Date,Page,Improper Load,Long Load,Empty Graphs,Wrong Data,Comment
2-11-2020T17:40:2,Chrome_Grouping_none,0,0,0,1,bad_response_65478
4-11-2020T14:40:3,Chrome_Grouping_none,1,0,0,0,Error_While_Loading_Data_There_was_an_error_while_loading_the_data_required_for_this_page_You_can_try_refreshing_the_page_or_checking_back_later_If_th
12-11-2020T20:53:34,Chrome_Grouping_cannith,0,0,0,0,For_notifications_you_cant_choose_anything_alphabetically_beyond_Thorn_and_Paw_Maybe_reaching_a_limit
13-11-2020T10:25:48,Chrome_Grouping_sarlona,0,0,0,1,Character_level_displayed_incorrectly
14-11-2020T15:53:49,Firefox_Who_Thelanis,0,0,0,0,hello
20-11-2020T13:58:52,Chrome_Grouping_sarlona,0,0,0,1,Im_level_30_but_its_level_28_on_this_website
9-12-2020T9:11:22,Firefox_Who_Wayfinder,0,0,1,0,_0_players_online_on_all_servers
10-12-2020T12:54:13,Chrome_Grouping_orien,0,0,1,0,lfm_dont_working
10-12-2020T15:32:28,Chrome_Grouping_sarlona,0,0,1,0,there_are_no_lfms
26-12-2020T22:22:2,Chrome_Trends,0,0,0,0,Thank_you_so_much_for_this_Not_an_issue_so_sorry_for_using_the_format_If_there_is_ANYTHING_I_can_do_to_help_please_contact_me_Servoinvcemcharternet
13-1-2021T14:34:35,Chrome_Grouping_none,0,0,1,0,There_are_no_LFMs
23-1-2021T10:27:45,Firefox_Grouping_ghallanda,0,0,0,1,Everything_is_frozen_at_94445_AM_Jan_23
25-1-2021T15:18:22,Chrome_Grouping_argonnessen,0,0,0,1,Mousing_over_an_LFM_shows_the_members_of_the_party_in_the_listing_above_the_selected_LFM
2-2-2021T0:45:52,Chrome_Grouping_thelanis,0,0,0,0,faggot
6-2-2021T11:43:59,Chrome_Grouping_cannith,0,0,1,0,in_cannith
6-2-2021T14:22:0,Firefox_Grouping_thelanis,0,0,1,0,servers_are_up_and_active_but_nothing_here
6-2-2021T14:39:23,Chrome_Grouping_sarlona,0,0,1,0,except_on_Orien_and_Sarlona
15-2-2021T12:1:26,Opera_Grouping_none,1,1,1,1,servers_down
15-2-2021T15:3:35,Firefox_Grouping_argonnessen,1,0,1,0,data_error_No_message_given
20-2-2021T20:14:0,Firefox_Grouping_cannith,0,0,0,1,Hello_Cannith_LFM_isnt_updating_anymore
19-4-2021T16:20:57,Firefox_Grouping_none,0,0,0,0,TESTING
29-4-2021T15:15:12,Safari_Grouping_none,1,0,1,0,Likely_a_problem_on_my_end_but_Im_submitting_a_report_nonetheless_due_to_the_servers_being_down_recently_
7-5-2021T18:2:0,Chrome_Grouping_thelanis,1,0,1,0,data_error_No_message_given
7-5-2021T18:38:47,Firefox_Grouping_none,1,0,0,0,People_see_maintenance_and_think_the_game_is_down_Maybe_tweak_the_wording_to_distinguish_between_game_maintenance_and_site_maintenance
1-6-2021T18:34:35,Chrome_Grouping_argonnessen,0,0,0,0,this_is_not_an_issue_but_a_request_would_be_nice_to_be_able_to_filter_by_words_so_i_could_be_notified_if_some1_posts_a_feytwisted_chest_for_instance_t
10-6-2021T8:36:12,Firefox_Grouping_none,1,0,0,0,data_error_No_message_given
10-6-2021T9:41:50,Chrome_Grouping_none,1,0,0,0,data_error_No_message_given
10-6-2021T10:13:7,Chrome_Grouping_sarlona,1,0,0,0,data_error_No_message_given
10-6-2021T10:22:21,Safari_Grouping_cannith,1,0,1,0,data_error_No_message_given
10-6-2021T11:8:31,Chrome_Grouping_hardcore,1,0,0,0,data_error_No_message_given
10-6-2021T11:18:54,Opera_Grouping_khyber,1,0,0,0,data_error_No_message_given
10-6-2021T13:31:23,Chrome_Grouping_argonnessen,1,0,0,0,Error_While_Loading_Data
10-6-2021T13:56:35,Firefox_Grouping_none,1,0,0,0,data_error_No_message_given
10-6-2021T14:14:6,Chrome_Grouping_none,1,0,0,0,data_error_No_message_given__Have_been_receiving_this_error_message_for_the_last_34_hours
10-6-2021T14:45:9,Safari_Grouping_cannith,1,0,1,0,data_error_No_message_given
10-6-2021T15:31:14,Chrome_Grouping_none,0,0,1,0,Hello_somewhy_LFMs_arent_even_loaded_At_all_Some_kind_of_error_while_trying_to_load_them
10-6-2021T15:33:14,Chrome_Who_Hardcore,1,0,1,0,Hello_cannot_load_any_players_showing_as_none_online
10-6-2021T15:42:39,Chrome_Grouping_sarlona,1,0,0,0,data_error_No_message_given