18 Wizard / 2 Rogue,723
18 Artificer / 2 Rogue,323
18 Bard / 2 Rogue,300
18 Rogue / 2 Artificer,295
18 Ranger / 2 Rogue,216
17 Favored Soul / 3 Paladin,199
18 Warlock / 2 Rogue,192
18 Paladin / 2 Fighter,170
19 Ranger / 1 Rogue,155
18 Ranger / 1 Fighter / 1 Rogue,125
18 Barbarian / 2 Fighter,121
11 Rogue / 6 Ranger / 3 Bard,114
12 Bard / 6 Fighter / 2 Rogue,100
18 Warlock / 2 Paladin,97
16 Bard / 2 Fighter / 2 Rogue,97
18 Fighter / 2 Rogue,97
18 Sorcerer / 2 Paladin,96
12 Rogue / 6 Ranger / 2 Artificer,95
18 Barbarian / 2 Rogue,94
17 Cleric / 3 Paladin,93